frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
146,"Jul 30, 2023 13:12:21.799641000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,245,48,0,8,0x0000000a5e205c34,0,Orange-8605,1,1,,,,,,,,
147,"Jul 30, 2023 13:12:22.823495000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x000000000419bbea,0,Aya's Galaxy ,1,1,,,,,,,,
148,"Jul 30, 2023 13:12:22.823495000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,247,48,0,8,0x0000000a5e2ffbbb,0,Orange-8605,1,1,,,,,,,,
149,"Jul 30, 2023 13:12:23.851817000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x0000000004294bed,0,Aya's Galaxy ,1,1,,,,,,,,
150,"Jul 30, 2023 13:12:23.852817000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,249,48,0,8,0x0000000a5e3f9c62,0,Orange-8605,1,1,,,,,,,,
151,"Jul 30, 2023 13:12:28.341940000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x0000000004326b50,0,Aya's Galaxy ,1,1,,,,,,,,
152,"Jul 30, 2023 13:12:28.342941000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,251,48,0,8,0x0000000a5e48bc44,0,Orange-8605,1,1,,,,,,,,
153,"Jul 30, 2023 13:12:28.959738000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x000000000471832d,0,Aya's Galaxy ,1,1,,,,,,,,
154,"Jul 30, 2023 13:12:28.959738000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,253,48,0,8,0x0000000a5e8da048,0,Orange-8605,1,1,,,,,,,,
155,"Jul 30, 2023 13:12:36.531536000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,234,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x000000000009f637,0,Aya's Galaxy ,1,1,,,,,,,,
156,"Jul 30, 2023 13:12:36.532533000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,255,48,0,8,0x0000000a5ecb0ca0,0,Orange-8605,1,1,,,,,,,,
157,"Jul 30, 2023 13:12:37.081134000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,234,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x000000000009f637,0,Aya's Galaxy ,1,1,,,,,,,,
158,"Jul 30, 2023 13:12:37.082135000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,257,48,0,8,0x0000000a5f097d8a,0,Orange-8605,1,1,,,,,,,,
159,"Jul 30, 2023 13:12:40.446089000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,147,11,0,8,0x0000000000019329,0,Aya's Galaxy ,1,1,,,,,,,,
160,"Jul 30, 2023 13:12:40.446089000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,259,48,0,8,0x0000000a5f1ff14e,0,Orange-8605,1,1,,,,,,,,
